"paper_id"|"journal_issue"|"type"|"title"
276607|22536|Olgu Sunumu|Lip and Face Edema Due to Face Presentation
56415|11952|Olgu Sunumu|Yeniden Yazmak
80120|4962|Derleme|Alt üriner sistem sistem travmaları ve üretral darlıklar
168466|20891|Olgu Sunumu|Carpal Tunnel Syndrome As a Presenting Feature of Polymyositis: A Case Report From India
228588|22715|Olgu Sunumu|Bilateral Nevoid Hyperkeratosis of the Nipple and/or Areola: A Case Report
44979|3026|Olgu Sunumu|Adenoid cystic carcinoma of the external auditory canal with pulmonary metastasis
228281|23047|Olgu Sunumu|Follow-up Findings in a Turkish Girl with Pseudohypoparathyroidism Type Ia Caused by a Novel Heterozygous Mutation in the GNAS Gene
228590|22715|Olgu Sunumu|An Unusual Case of Tracheobronchial Foreign Body Aspiration in a Laryngectomized Patient: Rolled Tissue
192605|23660|Olgu Sunumu|Isolated submucosal lipomatosis of appendix mimicking acute appendicitis: computed tomography findings
1650|10596|Derleme|Görsel Yayında Anlatım Biçemi
1658|10595|Derleme|Almanya'da Dil Hizmetleri
1659|10595|Derleme|Türk Dillerindeki Eklerin Etimolojisi Hakkında
1667|10594|Derleme|"Nâzım Hikmet'in ""Simavne Kadısı Oğlu Şeyh Bedreddin Destanı""nı Anlattığı"
1677|10592|Derleme|Yakın Okuma Tekniği İle Şiir Çözümleme Modeli
1668|10593|Derleme|Erdal Öz Öykücülüğüne Toplu Bakış
1678|10592|Derleme|Doğal Ritm ve Ezgilerin Şiire Yansıması
1680|10592|Derleme|George Orwell'in Shooting an Elephant Öyküsünde Bireyin İç Çatışması
262326|16251|Olgu Sunumu|Pancreatoblastoma, a Rare Childhood Tumor:  A Case Report
2079|11760|Derleme|"Tobin Vergisi: Bir ""Döviz İşlemleri Vergisi"" Önerisi"
2103|11791|Derleme|Doğrudan Yabancı Sermaye Yatırımları ve İstihdam Üzerine Etkileri
2105|11791|Derleme|"""Avrupalılaşmak"": Türkiye- Avrupa Birliği İlişkileri Üzerine Bir Deneme"
2106|11791|Derleme|Katılımcı Kamu Yönetimi
197397|23079|Olgu Sunumu|Primary cutaneous malignant melanoma of the breast: A case report
230326|21994|Olgu Sunumu|A Case with Reactive Airway Dysfunction Syndrome Accompanied by Non-Cardiogenic Pulmonary Edema
279422|24184|Olgu Sunumu|Aberrant Right Subclavian Artery Aneurysm: A Presentation of Two Cases
124290|213|Olgu Sunumu|Tek doz parasetamol kullanımına bağlı inferiyor miyokart enfarktüsü
229860|21793|Derleme|"TASARRUFUN İPTALİ DAVASI (İİK. M. 277 VD.) VE İTİRAZIN  İPTALİ DAVASI (İİK. M. 67) SIRASINDA KONULAN  ""İHTİYATİ HACİZ"" NE ZAMAN VE NASIL KESİN HACZE DÖNÜŞÜR?"
2786|10590|Derleme|J.D. Salinger ve Atılım Romanı
2804|10588|Derleme|Bilgisayarın Yabancı Dil Sınıflarında Yazma Becerisi Gelişimine Katkıları Nelerdir?
2787|10590|Derleme|Dilbilim ve Çeviri İlişkisi
2795|10589|Derleme|Carlos Fuentes ve İki Romanında Biçim Özellikleri (Deri Değiştirmek ve Artemio Cruz'un Ölümü)
244680|7037|Olgu Sunumu|Normal bone healing in three cloned dogs with long bone fractures
3065|24720|Derleme|Çocuk Hakları
3156|11096|Derleme|Ortak Kimlik ve Farklılıklarımız
3159|11096|Derleme|Geleneklerin Ardındaki Ölümler: Töre Cinayetleri
3160|11096|Derleme|Uluslararası İnsan Hakları Söyleminde Namus Cinayetleri: Kadınların İnsan Haklarının Ağır Bir İhlali
230421|22714|Olgu Sunumu|Is Attention Deficit Hyperactivity Disorder a Risk for Kohler’s Disease? Osteonecrosis of Navicular Bone of Foot
179964|77|Olgu Sunumu|Hip dislocation associated with ipsilateral femoral neck and shaft fractures: an unusual combination and dilemma regarding head preservation
3553|10384|Derleme|Cumhuriyetimizin 80. Yılında Millî Eğitimimizin Durumu
3559|10383|Derleme|Milli Eğitimde Yönetici, Müfettiş Yetiştirme Sorunu ve Milli Eğitim Akademisi
3562|10383|Derleme|Eğitim Liderliğinin Sorumluluğu
244872|24034|Derleme|Orthodontics and Temporomandibular Disorders. Are They Related?
3673|11950|Derleme|Kadın ve Felsefe
244932|2912|Olgu Sunumu|Pancreatic metastasis from non-small-cell lung cancer diagnosed using endoscopic ultrasound-guided fine needle aspiration biopsy: A case report
170666|21334|Olgu Sunumu|Stuck aortic valve treated by reteplase in a Bentall patient
78175|373|Olgu Sunumu|Trakeal basısı olan planjon guatrlı akromegalık hastanın tirodiktomi operasyonunda anestezi yönetimi
170705|238|Olgu Sunumu|Cryoablation of an anteroseptal acces-sory pathway through the jugular and subclavian veins in a patient withinterruption of the inferior vena cava 
263411|39833|Olgu Sunumu|Removal of cardiothoracic war-related shrapnel using video-assisted thoracoscopic surgery
199120|23041|Olgu Sunumu|Nifedipine in Congenital Hyperinsulinism-  A Case Report
179608|4583|Olgu Sunumu|Depo Penisilin Sonrası Gelişen Stevens-Johnson Sendromu Olgusu
233653|23049|Olgu Sunumu|Long-Term Follow-up of a Case with Proprotein Convertase 1/3  Deficiency: Transient Diabetes Mellitus with Intervening Diabetic  Ketoacidosis During Growth Hormone Therapy
47929|7559|Derleme|Safkan yarış atlarının babalık ve soy tayininde ELA ve DNA tipleme yöntemlerinin kullanılması
233367|20136|Derleme|Intensity-Modulated Radiotherapy versus 3-Dimensional Conformal  Radiotherapy Strategies for Locally Advanced Non-Small-Cell Lung Cancer
263987|22724|Olgu Sunumu|A case of hypothermia with significant Osborn Wave: a forgotten electrocardiographic finding
264263|22725|Olgu Sunumu|Ultrasound guided thorasic paravertebral block for breast surgery in a patient with severe cardiopulmonary disease
264267|22725|Olgu Sunumu|The role of hyponatremia in preeclampsia
264283|22725|Olgu Sunumu|Distal symmetrical polyneuropathy due to organophosphate intoxication
221208|20133|Olgu Sunumu|Chronic Urinary Retention after Surgery for a Rare Case of Adult  Presacral Teratoma
234517|14895|Olgu Sunumu|Serviks Kanseri Tedavisinde Adaptif Brakiterapi: Olgu Sunumu
246271|24038|Derleme|Cone Beam Computed Tomography in Orthodontics
246368|22200|Derleme|ON ANTHROPOLOGY, EDUCATION AND UNIVERSITY: AN INTERVIEW WITH TIM INGOLD
201235|37787|Derleme|Evolution of management in peritoneal surface malignancies
212644|22711|Olgu Sunumu|An odontogenic cyst causing facial asymmetry: a case report
196082|81|Olgu Sunumu|Removal of a femoral intramedullary nail withimpacted nail end cap using a broken screwextraction set: a case report and literature review
49689|8483|Derleme|Yeni sağ-özelleştirme demir çelik sektörü ve İsdemir A.Ş.
173643|20124|Olgu Sunumu|A Unique Case of Intranasal Metastasis from Occult Poorly  Differentiated Thyroid Carcinoma 
173645|20124|Olgu Sunumu|A Case of Duodenal Obstruction and Pancreatitis  Due to Intragastric Balloon
235404|2901|Derleme|Clostridium difficile infection and inflammatory bowel disease
137438|6637|Derleme|Utilization of gold nanostructures in biomedical applications
1661|10595|Derleme|Duygu Kervanı'yla İmgeye Yolculuk
235602|34448|Olgu Sunumu|Rhabdomyolysis Induced by Agaricus Bisporus
81038|3738|Olgu Sunumu|Demonstration of a hypoplastic aortic arch by computed tomographic angiography
81043|3738|Olgu Sunumu|Sağ atriyumda dev miksoma
81050|3739|Olgu Sunumu|Double-inlet left ventricle with transposition of great arteries in an asymptomatic adult
227649|22710|Olgu Sunumu|Three Cases of Burn Injury Due to Topical Ranunculus Use
81079|3742|Olgu Sunumu|Üçdamar hastalığını düşündüren yaygın koroner spazm ve intrakoroner nitrogliserin uygulamasının gereksiz girişimleri önleyici rolü
263780|22723|Olgu Sunumu|Thoracic epidural anesthesia for severe myasthenia gravis patient undergoing laparoscopic cholesistectomy
81144|1391|Olgu Sunumu|Juvenil tillaux kırığı
81148|1391|Olgu Sunumu|Kronik hepatit B'de peginterferon tedavisi
236776|21357|Olgu Sunumu|Radiofrequency ablation of accessory pathways in a toddler with Ebstein’s anomaly and functional single ventricle physiology
237074|22717|Olgu Sunumu|Solitary Metacarpal Osteochondroma; an Unusual Location
113267|18449|Derleme|Environmental biology and pathophysiology of cadmium
197411|23081|Olgu Sunumu|A case of Tailgut Cyst presented to the emergency department due to urinary retention
237692|23969|Olgu Sunumu|Seronegative brucellosis of the spine: A case of psoas  abscess secondary to brucellar spondylitis
189498|21904|Derleme|LEIHMUTTERSCHAFT UND EMBRYONENSPENDE
276609|22536|Olgu Sunumu|Persistent Hypertransaminasemia Uncovered Occult  Limb-Girdle-Muscle Dystrophy-Type-2C in a Saudi Child
241331|22192|Olgu Sunumu|İntrakranyal Olgu Sunumları
126123|214|Olgu Sunumu|Kawasaki disease presenting as meningitis in a two months old infant 
238420|20138|Olgu Sunumu|One of the Rare Causes of Acute Abdomen Leading to Subileus: Jejunal Diverticulitis
237737|21358|Derleme|A global perspective on mechanical prosthetic heart valve thrombosis: Diagnostic and therapeutic challenges
163936|13565|Olgu Sunumu|Bicuspid aortic valve and severe aortic stenosis in a newborn exposed to carbamazapine during pregnancy
267796|23971|Olgu Sunumu|Rapid loss of efficacy of biosimilar infliximab in three patients with Behçet’s disease after switching from infliximab originator
278332|16254|Olgu Sunumu|Perivascular Epithelioid Cell Tumor (PEComa) of the Uterine Cervix in a Patient with Tuberous Sclerosis Complex: A Literature Review
45493|3028|Derleme|Ebola: A significant threat as an infectious disease, and as a potential bioterrorism agent
239906|23751|Olgu Sunumu|A case of spontaneous ejaculation associated with panic disorder which was treated with sertraline and alprazolam
278677|23076|Olgu Sunumu|Splenogonadal fusion associated with delayed skeletal maturation: A case report and review of the literature
264264|22725|Olgu Sunumu|Cerebral venous thrombosis occurring during oxymetholone therapy
264278|22725|Olgu Sunumu|Delayed diagnosis of chronic pancreatitis with Cystic Fibrosis and Pancreas Divisium
20190|173|Olgu Sunumu|Akut tip B aort disseksiyonunun endovasküler tedavisi: Olgu sunumu
